junction,future_risk_score,percentile_rank
BTM16thMain-ORR Junc,0.0527701,42.17687074829932
ShivanahalliJunctionWOC,0.051643316,41.83673469387755
BinnyMillJunction,0.049928986,41.49659863945578
CommandoHospitalJunc,0.048962843,41.156462585034014
AnilKumbleCircle,0.047206037,40.816326530612244
OperaHouseJunc,0.046053223,40.476190476190474
MICO Bande,0.04278245,40.136054421768705
HoodiJunction,0.04103749,39.795918367346935
SagarTheatreJunc,0.03866585,39.455782312925166
"Jayanagar 4th main,36th cross",0.03536628,39.1156462585034
CashPharmacyJunction,0.032084703,38.775510204081634
MayohallJunction,0.031613912,38.435374149659864
HalliThindi,0.030736333,38.095238095238095
CIL CrossJunction-JayamahalRd,0.030092563,37.58503401360544
VetenaryHospitalJunc-Shivajinagar,0.030092563,37.58503401360544
RamaiahCircle-UlsoorPoliceStation,0.029338041,37.07482993197279
5thMainHSR,0.0282587,36.734693877551024
MahalaxmiLayoutEntranceJunc,0.025740977,36.394557823129254
SubedarChatramRd near SheshadripuramPS,0.023905877,36.054421768707485
TC Palya-OM RoadJunc,0.022912765,35.714285714285715
BegumMahalJunc,0.02290623,35.374149659863946
OldMadrasRd-NGEF Junc,0.02198581,35.034013605442176
Yemalur cross junc,0.0218503,34.69387755102041
Malleswaram18thCrossRd-SampigeRdJunc,0.021440897,34.35374149659864
Dr RajkumarRd-10thCrossRdJunc,0.019993601,34.01360544217687
ModiBridgeJunction,0.019616693,33.6734693877551
Kammanahalli-RingRoadJunction,0.018827919,33.33333333333333
Jaipuria-Adugodi,0.018545024,32.99319727891156
HennurRd-DavisRdJunction,0.017910281,32.6530612244898
BhashyamCircle-SadashivNagar,0.017519658,32.31292517006803
RRR(Okalipuram)Junction,0.017173802,31.97278911564626
WiproJunc-Koramangala,0.015500024,31.63265306122449
5thMainRPC Layout-Vijayanagar,0.014934342,31.292517006802722
J D MaraJunc,0.014739904,30.952380952380953
KalyanNagar-ORR Junc,0.014726394,30.612244897959183
Delmia-Jayanagar,0.014374849,30.272108843537417
NandiCross(RaniCross),0.013922286,29.931972789115648
KamrajRdJunction,0.013762642,29.591836734693878
Arts&CraftsCircle,0.013740543,29.25170068027211
CoffeeBoardJunc,0.01351236,28.91156462585034
GarebhavipalyaJunc,0.0120302485,28.57142857142857
Rajajinagagr1stBlockJunction,0.011941509,28.2312925170068
PuttammaChoultryNagarbhavi,0.011707605,27.89115646258503
SonyworldJunction,0.01156204,27.55102040816326
DevegowdaPetrolBunkJunc,0.011398913,27.2108843537415
CholurpalyaJunction(MagadiRd),0.011368513,26.87074829931973
Indiranasgar13thMainJunc,0.010898128,26.53061224489796
CMH Rd-AdarshTheaterJunc,0.010801994,26.190476190476193
ChandraLayoutJunc-nearWaterTank,0.010073935,25.850340136054424
SafinaPlazaJunc,0.009142603,25.510204081632654
KCG HospitalJunction,0.008845432,25.170068027210885
Basappa Circle Junction,0.008023178,24.829931972789115
ShankarMuttCircle,0.007729845,24.489795918367346
Srinivagilu(Ejipura)Junc,0.0075110933,24.149659863945576
"PriyadarshiniHotel,Jayamahal,RT Nagar",0.0074512144,23.809523809523807
NavarangBarJunc-Dr RajkumarRd,0.007183609,23.299319727891156
NGV RearGateJunc,0.007183609,23.299319727891156
Bamboobazar(Shivajinagar),0.0071277465,22.789115646258505
ModiHospital,0.007072104,22.448979591836736
KuvempuCircle,0.0069166324,22.108843537414966
NCERT Junction,0.0068918304,21.768707482993197
BasavamantapaJunc-Dr RajkumarRd,0.006716748,21.428571428571427
UCO Bank(Forum),0.006591757,21.08843537414966
JohnsonMarket,0.0065066675,20.74829931972789
ManipalCentreJunc,0.0060773552,20.408163265306122
GowdanapalyaJunction,0.0057580974,20.068027210884352
BagalakunteCrossJunction,0.0056984536,19.727891156462583
BhadrappaLayout,0.0054086954,19.387755102040817
HosmatJunction,0.005395107,19.047619047619047
LowerAgaram(IndiaGarage)Junc,0.004660449,18.70748299319728
ISRO Junction-NewBEL Rd,0.0046429387,18.367346938775512
DoddaballapuraCrossJunc,0.0046174554,18.027210884353742
BEML GateJunc(SuranjandasRd),0.0042113266,17.687074829931973
MarenahalliRd-18thMainRdJunc,0.004081174,17.17687074829932
Minerva Circle,0.004081174,17.17687074829932
OldMadrasRd-SuddaguntepalyaRdJunc,0.004027758,16.49659863945578
AnjaneyaTempleJunc,0.004027758,16.49659863945578
NTTF JunctionPeenya,0.003981984,15.98639455782313
OldMadrasRd-DoubleRdJunc,0.003894035,15.646258503401361
SwagathMainRd-EastEndRdJunc,0.00383775,15.306122448979592
"KuvempuCircleJunc,HAL MainGate",0.0036534327,14.965986394557824
AdugodiJunc,0.003533817,14.45578231292517
AttiguppeCircleJunction,0.003533817,14.45578231292517
WebbsCircle,0.003394726,13.945578231292515
BM ShriJunc(CMH-100FtRd)Junc,0.0033196341,13.60544217687075
RoyanCircle-Chamrajpete,0.0032076477,13.26530612244898
GorappanapalyaJunction,0.003175637,12.925170068027212
NagaTheaterJunc-Ulsoor,0.0031673715,12.585034013605442
UpparpetJunction,0.0031339852,12.244897959183673
Fire Force Junction,0.0030312932,11.904761904761903
"Narayanapura cross, Hegde nagar",0.002734391,11.564625850340136
OldMadrasRd-BMTC DepotJunc,0.002411449,11.224489795918368
ChandrikaJunction,0.0019796547,10.884353741496598
BHEL Gate,0.0018205071,10.374149659863946
LinkRoadMalleswaramJunc,0.0018205071,10.374149659863946
"Trilight Circle,Race course Road",0.0017859046,9.863945578231291
Geeta Circle,0.0017781553,9.523809523809524
MaharajaJunction,0.0017228123,9.183673469387756
17th Mn 1st Crs Aishwarya Stores Jn,0.0016884136,8.673469387755102
YediyurMeternityHospital,0.0016884136,8.673469387755102
TVS CrossJunction,0.0016846579,8.16326530612245
KamakyaJunction,0.0016340044,7.8231292517006805
KHB Junction,0.0014956362,7.482993197278912
RajarajeshwariKalyanaMantapaJunc,0.0014220305,7.142857142857142
DickensonRd-AdigasJunc,0.0013426776,4.931972789115646
DMRoadJunc(Basavangudi),0.0013426776,4.931972789115646
LalbaghWestGate,0.0013426776,4.931972789115646
VishweswaraiahJunctio(Uttamsagar),0.0013426776,4.931972789115646
KensingtonOvalJunc,0.0013426776,4.931972789115646
MSRamaiahHospitalJunc,0.0013426776,4.931972789115646
ThomasCafe-New,0.0013426776,4.931972789115646
K G Junction,0.0013426776,4.931972789115646
DevanahalliCrossJunc,0.0013426776,4.931972789115646
Peenya14thCrossJunc,0.0013426776,4.931972789115646
GovindapuraCross,0.0013426776,4.931972789115646
ColesParkJunc,0.0013426776,4.931972789115646
KR Road-14thCross Junc,0.0010008848,2.5510204081632653
27th Cross Jayanagar(Ganapathi Temple),0.0010008848,2.5510204081632653
ESI(k r puram),0.0009353943,1.3605442176870748
BrigadeMillenium,0.0009353943,1.3605442176870748
NationalCollege,0.0009353943,1.3605442176870748
Basveshwarnagar 8th main Junction,0.0009353943,1.3605442176870748
Devanahalli new bus stand,0.0009353943,1.3605442176870748
TamarikannanJunc,0.0005388999,0.3401360544217687
